time,sat_name,subRegion,angle_g_param
2026-02-24T07:32:37.795Z,SCD 1,A--19,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 2,A--544,0.25
2026-02-24T07:32:37.795Z,HST,A--561,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 4A,A--513,0.25
2026-02-24T07:32:37.795Z,HST,A--517,0.25
2026-02-24T07:32:37.795Z,SCD 1,A--510,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 4A,A--509,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 2,A--503,0.25
2026-02-24T07:32:37.795Z,SCD 1,A--507,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 4A,A--506,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 4A,A--502,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 4A,A--494,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 4A,A--489,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 4A,A--491,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 1,A--486,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 2,A--481,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 4A,A--476,0.25
2026-02-24T07:32:37.795Z,SCD 1,A--536,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 4A,A--473,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 4A,A--470,0.25
2026-02-24T07:32:37.795Z,SCD 1,A--26,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 2,A--508,0.25
2026-02-24T07:32:37.795Z,HST,A--512,0.25
2026-02-24T07:32:37.795Z,HST,A--28,0.25
2026-02-24T07:32:37.795Z,HST,A--29,0.25
2026-02-24T07:32:37.795Z,CALSPHERE 4A,A--29,0.25
2026-02-24T07:32:38.795Z,SCD 1,A--19,0.25
2026-02-24T07:32:38.795Z,SCD 1,A--26,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 2,A--499,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--502,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 4A,A--502,0.25
2026-02-24T07:32:38.795Z,HST,A--28,0.25
2026-02-24T07:32:38.795Z,SCD 1,A--515,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 2,A--514,0.25
2026-02-24T07:32:38.795Z,SCD 1,A--512,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 4A,A--512,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 2,A--512,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 2,A--558,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--543,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 2,A--496,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--496,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 2,A--497,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 4A,A--554,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 4A,A--555,0.25
2026-02-24T07:32:38.795Z,SCD 1,A--532,0.25
2026-02-24T07:32:38.795Z,HST,A--29,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--28,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--26,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 2,A--26,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 4A,A--479,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 2,A--488,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--496,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 4A,A--493,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--559,0.25
2026-02-24T07:32:38.795Z,HST,A--566,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--515,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 4A,A--514,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--496,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--487,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 2,A--514,0.25
2026-02-24T07:32:38.795Z,HST,A--517,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--513,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 2,A--556,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--548,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--507,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 2,A--487,0.25
2026-02-24T07:32:38.795Z,CALSPHERE 1,A--29,0.25
