time,sat_name,subRegion,shaded
2025-11-28T09:11:54.382Z,HST,A--32,FALSE
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--22,TRUE
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--23,TRUE
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--30,TRUE
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--31,TRUE
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--38,TRUE
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--39,TRUE
2025-11-28T19:11:31.382Z,SCD 1,A--55,TRUE
2025-11-28T19:11:31.382Z,SCD 1,A--63,TRUE
2025-11-28T19:11:31.382Z,STARLETTE,A--81,TRUE
2025-11-28T19:11:31.382Z,STARLETTE,A--82,TRUE
2025-11-28T19:11:31.382Z,STARLETTE,A--83,TRUE
2025-11-28T19:11:31.382Z,STARLETTE,A--89,TRUE
2025-11-28T19:11:31.382Z,STARLETTE,A--90,TRUE
2025-11-28T19:11:31.382Z,STARLETTE,A--91,TRUE
2025-11-28T19:11:31.382Z,LUSAT (LO-19),A--94,TRUE
2025-11-28T19:11:31.382Z,LUSAT (LO-19),A--95,TRUE
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--22,TRUE
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--23,TRUE
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--30,TRUE
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--31,TRUE
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--38,TRUE
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--39,TRUE
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--47,TRUE
2025-11-28T19:17:36.382Z,SCD 1,A--55,TRUE
2025-11-28T19:17:36.382Z,SCD 1,A--63,TRUE
2025-11-28T19:17:36.382Z,SCD 1,A--71,TRUE
2025-11-28T19:17:36.382Z,STARLETTE,A--74,TRUE
2025-11-28T19:17:36.382Z,STARLETTE,A--75,TRUE
2025-11-28T19:17:36.382Z,STARLETTE,A--81,TRUE
2025-11-28T19:17:36.382Z,STARLETTE,A--82,TRUE
2025-11-28T19:17:36.382Z,STARLETTE,A--83,TRUE
2025-11-28T19:17:36.382Z,LUSAT (LO-19),A--86,TRUE
2025-11-28T19:17:36.382Z,LUSAT (LO-19),A--87,TRUE
2025-11-28T19:17:36.382Z,STARLETTE,A--89,TRUE
2025-11-28T19:17:36.382Z,STARLETTE,A--90,TRUE
2025-11-28T19:17:36.382Z,STARLETTE,A--91,TRUE
2025-11-28T19:17:36.382Z,STARLETTE,A--92,TRUE
2025-11-28T19:17:36.382Z,LUSAT (LO-19),A--94,TRUE
2025-11-28T19:17:36.382Z,LUSAT (LO-19),A--95,TRUE
2025-11-28T19:17:36.382Z,STARLETTE,A--99,TRUE
2025-11-28T19:17:36.382Z,STARLETTE,A--100,TRUE
2025-11-28T19:17:36.382Z,LUSAT (LO-19),A--103,TRUE
2025-11-28T19:26:19.382Z,HST,A--39,TRUE
2025-11-28T19:26:19.382Z,HST,A--47,TRUE
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--74,TRUE
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--75,TRUE
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--81,TRUE
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--82,TRUE
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--83,TRUE
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--84,TRUE
2025-11-28T19:26:19.382Z,SCD 1,A--86,TRUE
2025-11-28T19:26:19.382Z,SCD 1,A--87,TRUE
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--90,TRUE
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--91,TRUE
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--92,TRUE
2025-11-28T19:26:19.382Z,SCD 1,A--94,TRUE
2025-11-28T19:26:19.382Z,SCD 1,A--95,TRUE
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--99,TRUE
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--100,TRUE
2025-11-28T19:26:19.382Z,STARLETTE,A--102,TRUE
2025-11-28T19:26:19.382Z,STARLETTE,A--103,TRUE
2025-11-28T19:26:19.382Z,USA 119,A--108,TRUE
2025-11-28T19:26:19.382Z,STARLETTE,A--109,TRUE
2025-11-28T19:26:19.382Z,USA 119,A--109,TRUE
2025-11-28T19:26:19.382Z,STARLETTE,A--110,TRUE
2025-11-28T19:26:19.382Z,USA 119,A--110,TRUE
2025-11-28T19:26:19.382Z,STARLETTE,A--111,TRUE
2025-11-28T19:26:19.382Z,USA 119,A--116,TRUE
2025-11-28T19:26:19.382Z,USA 119,A--117,TRUE
2025-11-28T19:26:19.382Z,STARLETTE,A--118,TRUE
2025-11-28T19:26:19.382Z,USA 119,A--118,TRUE
2025-11-28T19:26:19.382Z,STARLETTE,A--119,TRUE
2025-11-28T19:26:19.382Z,USA 119,A--125,TRUE
