time,sat_name,subRegion,angle_g_param
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--22,0.25
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--23,0.25
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--30,0.25
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--31,0.25
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--38,0.25
2025-11-28T19:11:31.382Z,CALSPHERE 4A,A--39,0.25
2025-11-28T19:11:31.382Z,SCD 1,A--55,0.25
2025-11-28T19:11:31.382Z,SCD 1,A--63,0.25
2025-11-28T19:11:31.382Z,STARLETTE,A--81,0.25
2025-11-28T19:11:31.382Z,STARLETTE,A--82,0.25
2025-11-28T19:11:31.382Z,STARLETTE,A--83,0.25
2025-11-28T19:11:31.382Z,STARLETTE,A--89,0.25
2025-11-28T19:11:31.382Z,STARLETTE,A--90,0.25
2025-11-28T19:11:31.382Z,STARLETTE,A--91,0.25
2025-11-28T19:11:31.382Z,LUSAT (LO-19),A--94,0.25
2025-11-28T19:11:31.382Z,LUSAT (LO-19),A--95,0.25
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--22,0.25
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--23,0.25
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--30,0.25
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--31,0.25
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--38,0.25
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--39,0.25
2025-11-28T19:17:36.382Z,CALSPHERE 4A,A--47,0.25
2025-11-28T19:17:36.382Z,SCD 1,A--55,0.25
2025-11-28T19:17:36.382Z,SCD 1,A--63,0.25
2025-11-28T19:17:36.382Z,SCD 1,A--71,0.25
2025-11-28T19:17:36.382Z,STARLETTE,A--74,0.25
2025-11-28T19:17:36.382Z,STARLETTE,A--75,0.25
2025-11-28T19:17:36.382Z,STARLETTE,A--81,0.25
2025-11-28T19:17:36.382Z,STARLETTE,A--82,0.25
2025-11-28T19:17:36.382Z,STARLETTE,A--83,0.25
2025-11-28T19:17:36.382Z,LUSAT (LO-19),A--86,0.25
2025-11-28T19:17:36.382Z,LUSAT (LO-19),A--87,0.25
2025-11-28T19:17:36.382Z,STARLETTE,A--89,0.25
2025-11-28T19:17:36.382Z,STARLETTE,A--90,0.25
2025-11-28T19:17:36.382Z,STARLETTE,A--91,0.25
2025-11-28T19:17:36.382Z,STARLETTE,A--92,0.25
2025-11-28T19:17:36.382Z,LUSAT (LO-19),A--94,0.25
2025-11-28T19:17:36.382Z,LUSAT (LO-19),A--95,0.25
2025-11-28T19:17:36.382Z,STARLETTE,A--99,0.25
2025-11-28T19:17:36.382Z,STARLETTE,A--100,0.25
2025-11-28T19:17:36.382Z,LUSAT (LO-19),A--103,0.25
2025-11-28T19:26:19.382Z,HST,A--39,0.25
2025-11-28T19:26:19.382Z,HST,A--47,0.25
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--74,0.25
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--75,0.25
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--81,0.25
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--82,0.25
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--83,0.25
2025-11-28T19:26:19.382Z,LUSAT (LO-19),A--84,0.25
