time,sat_name,subRegion,angle_g_param
2025-12-18T12:00:00.000Z,SAT_0,A--0,0.25
2025-12-18T12:00:00.000Z,SAT_0,A--8,0.25
2025-12-18T12:00:00.000Z,SAT_1,A--4,0.25
2025-12-18T12:00:01.000Z,SAT_0,A--1,0.25
2025-12-18T12:00:01.000Z,SAT_1,A--6,0.25
2025-12-18T12:00:02.000Z,SAT_0,A--3,0.25
2025-12-18T12:00:02.000Z,SAT_1,A--5,0.25
2025-12-18T12:00:02.000Z,SAT_1,A--6,0.25
2025-12-18T12:00:03.000Z,SAT_1,A--7,0.25
2025-12-18T12:00:04.000Z,SAT_0,A--4,0.25
2025-12-18T12:00:05.000Z,SAT_0,A--8,0.25
2025-12-18T12:00:05.000Z,SAT_1,A--0,0.25
2025-12-18T12:00:06.000Z,SAT_0,A--6,0.25
2025-12-18T12:00:07.000Z,SAT_1,A--1,0.25
2025-12-18T12:00:07.000Z,SAT_1,A--2,0.25
2025-12-18T12:00:08.000Z,SAT_0,A--8,0.25
2025-12-18T12:00:03.000Z,SAT_0,G-0,1
2025-12-18T12:00:04.000Z,SAT_1,G-1,1
2025-12-18T12:00:07.000Z,SAT_0,G-1,1
2025-12-18T12:00:08.000Z,SAT_1,G-0,1
