time,satcode,region_or_station
0,4,A--22
0,4,A--23
0,4,A--30
0,4,A--31
0,4,A--38
0,4,A--39
0,18,A--55
0,18,A--63
0,19,A--81
0,19,A--82
0,19,A--83
0,19,A--89
0,19,A--90
0,19,A--91
0,11,A--94
0,11,A--95
364.9999998,4,A--22
364.9999998,4,A--23
364.9999998,4,A--30
364.9999998,4,A--31
364.9999998,4,A--38
364.9999998,4,A--39
364.9999998,4,A--47
364.9999998,18,A--55
364.9999998,18,A--63
364.9999998,18,A--71
364.9999998,19,A--74
364.9999998,19,A--75
364.9999998,19,A--81
364.9999998,19,A--82
364.9999998,19,A--83
364.9999998,11,A--86
364.9999998,11,A--87
364.9999998,19,A--89
364.9999998,19,A--90
364.9999998,19,A--91
364.9999998,19,A--92
364.9999998,11,A--94
364.9999998,11,A--95
364.9999998,19,A--99
364.9999998,19,A--100
364.9999998,11,A--103
888.0000001,7,A--39
888.0000001,7,A--47
888.0000001,11,A--74
888.0000001,11,A--75
888.0000001,11,A--81
888.0000001,11,A--82
888.0000001,11,A--83
888.0000001,11,A--84
888.0000001,18,A--86
888.0000001,18,A--87
888.0000001,11,A--90
888.0000001,11,A--91
888.0000001,11,A--92
888.0000001,18,A--94
888.0000001,18,A--95
888.0000001,11,A--99
888.0000001,11,A--100
888.0000001,19,A--102
888.0000001,19,A--103
888.0000001,24,A--108
888.0000001,19,A--109
888.0000001,24,A--109
888.0000001,19,A--110
888.0000001,24,A--110
888.0000001,19,A--111
888.0000001,24,A--116
888.0000001,24,A--117
888.0000001,19,A--118
888.0000001,24,A--118
888.0000001,19,A--119
888.0000001,24,A--125
888.0000001,24,A--126
1467,7,A--87
1467,7,A--94
1467,7,A--95
1467,18,A--126
1467,24,A--127
1467,24,A--128
1467,24,A--133
1467,24,A--134
1467,5,A--137
1467,24,A--137
1467,5,A--138
1467,24,A--138
1467,5,A--139
1467,24,A--139
1467,5,A--140
1467,24,A--140
1467,5,A--141
1467,24,A--141
1467,5,A--142
1467,24,A--142
2021,15,A--48
2021,13,A--56
2021,13,A--64
2021,13,A--72
2021,13,A--73
2157,23,A--16
2157,13,A--56
2157,15,A--56
2157,13,A--64
